0.00-17.82 press up
0.44 steer -809
0.52 steer -1897
0.55 steer -3015
0.58 steer -4157
0.61 steer -5250
0.68 steer -7490
0.69 steer -10830
0.70 steer -13094
0.73 steer -14192
0.81 steer -15294
0.83 steer -16439
0.84 steer -17549
0.87 steer -18641
0.92 steer -20871
0.94 steer -22009
0.97 steer -28719
0.98 steer -29816
1.01 steer -30921
1.10 steer -33149
1.11 steer -34297
1.12 steer -36497
1.13 steer -38766
1.14 steer -39861
1.15 steer -40968
1.16 steer -44332
1.17 steer -48791
1.18 steer -49887
1.20 steer -51042
1.76 steer -49903
1.77 steer -47658
1.78 steer -42098
1.79 steer -30914
1.80 steer -24244
1.81 steer -14210
1.82 steer -10852
1.83 steer -8605
1.93 steer -9720
1.94 steer -11946
1.95 steer -14173
1.98 steer -15298
2.07 steer -14175
2.08 steer -13061
2.09 steer -10832
2.10 steer -9743
2.21 steer -11946
2.22 steer -13085
2.23 steer -14195
2.29 steer -13063
2.30 steer -10833
2.31 steer -9716
2.32 steer -7496
2.33 steer -3041
2.34 steer -804
2.35 steer 0
2.81 steer -804
2.84 steer -1932
2.92 steer -818
3.02 steer -1909
3.03 steer -5248
3.04 steer -7491
3.05 steer -8596
3.07 steer -5278
3.08 steer -791
3.09 steer 0
3.17 steer 833
3.18 steer 1994
3.20 steer 3125
3.21 steer 4266
3.22 steer 5382
3.24 steer 6524
3.30 steer 3122
3.31 steer 0
3.57 steer 845
3.58 steer 1970
3.59 steer 3113
3.60 steer 5399
3.61 steer 7654
3.62 steer 9902
3.63 steer 13312
3.65 steer 14470
3.67 steer 15568
3.68 steer 16718
3.69 steer 17836
3.92 steer 16718
3.93 steer 15597
3.94 steer 12199
3.95 steer 4248
3.96 steer 0
4.13 steer -793
4.14 steer -1912
4.15 steer -3051
4.16 steer -5248
4.17 steer -8594
4.18 steer -10847
4.19 steer -11949
4.20 steer -13078
4.23 steer -14191
4.25 steer -15292
4.32 steer -16409
4.33 steer -17556
4.35 steer -18654
4.39 steer -19760
4.40 steer -20898
4.41 steer -23110
4.42 steer -29829
4.43 steer -30923
4.44 steer -32036
4.45 steer -34300
4.46 steer -35399
4.68 steer -34289
4.69 steer -29818
4.70 steer -28696
4.71 steer -25345
4.72 steer -20904
4.73 steer -15328
4.75 steer -14191
4.92 steer -10847
4.93 steer -9731
4.94 steer -7511
4.95 steer -6385
4.96 steer -5279
4.97 steer -1931
4.98 steer 0
5.11 steer -788
5.12 steer -1905
5.13 steer -3041
5.14 steer -6360
5.15 steer -7478
5.21 steer -5262
5.22 steer -3049
5.23 steer 0
5.49 steer -779
5.50 steer -1921
5.55 steer -799
5.56 steer 0
6.57 steer -799
6.62 steer 0
8.80 steer -812
9.35 steer -1898
9.95 steer -4139
9.96 steer -5245
9.97 steer -7507
9.98 steer -9746
9.99 steer -10825
10.00 steer -13064
10.46 steer -11961
10.51 steer -10838
10.53 steer -9717
10.54 steer -8598
10.55 steer -7489
10.56 steer -6366
10.57 steer -4128
10.58 steer -1896
10.59 steer 0
10.93 steer 850
10.94 steer 1964
10.95 steer 3128
10.97 steer 5398
10.98 steer 7640
10.99 steer 8775
11.00 steer 12179
11.01 steer 14459
11.04 steer 15599
11.05 steer 16738
11.06 steer 17862
11.07 steer 18971
11.08 steer 20101
11.34 steer 18981
11.35 steer 15599
11.36 steer 9932
11.37 steer 1980
11.38 steer 0
11.80 steer 848
11.81 steer 3127
11.82 steer 4227
11.83 steer 6517
11.89 steer 4228
11.90 steer 0
12.34 steer -795
12.38 steer -1926
12.51 steer -3025
12.59 steer -4130
12.60 steer -5256
12.63 steer -6384
12.64 steer -7506
12.65 steer -8595
12.66 steer -9744
12.71 steer -11943
12.72 steer -13092
12.74 steer -14178
12.82 steer -15310
12.86 steer -16427
12.89 steer -17538
12.91 steer -18639
12.96 steer -20876
12.97 steer -25334
12.98 steer -29832
13.21 steer -33175
13.22 steer -40987
13.23 steer -51022
13.24 steer -61087
13.25 steer -65536
13.37 steer -58848
13.41 steer -51036
13.43 steer -49923
13.46 steer -54383
13.47 steer -65536
15.45-15.51 press down
15.74 steer -59959
15.75 steer -33173
15.76 steer -13090
15.77 steer -6364
15.78 steer -1916
15.79 steer 0
16.15 steer -798
16.16 steer -1904
16.17 steer -9715
16.18 steer -15306
16.19 steer -19773
16.20 steer -37630
16.21 steer -64404
16.22 steer -65536
18.38 press up
18.83 steer -64428
18.84 steer -49921
18.88 steer -52138
18.89 steer -65536
19.37 steer -62201
19.38 steer -53243
19.39 steer -30921
19.40 steer -18653
19.41 steer -783
19.42 steer 0
19.48 steer 6511
19.49 steer 16718
19.50 steer 32597
19.51 steer 65536
19.89-19.97 press down
20.67-20.72 press down
22.51-23.04 press down
23.04 steer 56378
23.05 steer 15569
23.06 steer 0
23.07 steer -3019
23.08 steer -16404
23.09 steer -17530
23.10 steer -42078
23.11 steer -65536
24.64 steer -52126
24.65 steer -36497
24.66 steer -17552
24.67 steer 0
24.68 steer 832
24.68-24.77 press down
24.69 steer 19004
24.70 steer 30331
