0.00 press up
0.38 steer -681
0.45 steer -1753
0.47 steer 0
0.49 steer -1753
0.50 steer 0
0.51 steer -1753
0.53 steer -2289
0.56 steer -2825
0.57 steer -681
0.58 steer -1753
0.59 steer -2289
0.67 steer -2825
0.73 steer -3897
0.75 steer -2289
0.76 steer -3897
0.80 steer -2289
0.81 steer -1753
0.85 steer -2289
0.86 steer -2825
0.87 steer -3897
0.89 steer -4433
0.92 steer -2825
0.98 steer -4433
1.04 steer -2825
1.16 steer -2289
1.17 steer -3897
1.18 steer -4433
1.19 steer -4969
1.22 steer -6041
1.25 steer -4433
1.29 steer -6041
1.34 steer -4433
1.84 steer -3897
1.86 steer -2825
1.87 steer 0
2.06 steer -681
2.07 steer -1753
2.08 steer -2289
2.09 steer -2825
2.10 steer -2289
2.11 steer -3897
2.13 steer -2289
2.19 steer -1753
2.21 steer 0
2.82 steer -681
2.83 steer -2289
2.85 steer -2825
2.86 steer -4433
2.87 steer -4969
2.88 steer -6041
2.89 steer -6577
2.90 steer -7649
2.91 steer -10329
2.92 steer -10865
2.93 steer -11937
2.95 steer -14081
2.96 steer -14617
2.97 steer -15153
2.98 steer -16760
2.99 steer -17832
3.00 steer -18368
3.01 steer -18904
3.02 steer -19976
3.03 steer -21048
3.04 steer -22656
3.05 steer -23192
3.06 steer -24264
3.09 steer -24800
3.10 steer -25872
3.11 steer -26408
3.12 steer -26944
3.13 steer -28016
3.14 steer -29088
3.15 steer -30696
3.16 steer -32304
3.17 steer -33376
3.18 steer -36592
3.19 steer -37128
3.20 steer -38200
3.21 steer -39272
3.22 steer -40880
3.23 steer -43024
3.24 steer -44096
3.26 steer -44632
3.27 steer -46240
3.38 steer -42488
3.39 steer -41416
3.40 steer -40344
3.41 steer -39272
3.42 steer -38736
3.43 steer -37128
3.44 steer -36592
3.45 steer -34984
3.46 steer -33376
3.47 steer -30696
3.48 steer -28552
3.49 steer -28016
3.50 steer -25872
3.51 steer -23192
3.52 steer -22656
3.53 steer -22120
3.54 steer -20512
3.56 steer -18904
3.57 steer -18368
3.58 steer -16760
3.59 steer -15153
3.60 steer -14617
3.61 steer -12473
3.62 steer -10329
3.63 steer -9793
3.65 steer -8721
3.67 steer -10329
3.69 steer -14617
3.70 steer -18368
3.71 steer -18904
3.72 steer -19976
3.82 steer -15153
3.83 steer -14081
3.84 steer -10865
3.85 steer -7649
3.86 steer -4969
3.87 steer -3897
3.89 steer -2289
3.90 steer -3897
3.92 steer -4433
3.94 steer -6041
3.95 steer -10329
3.96 steer -14081
3.97 steer -16224
3.98 steer -21048
3.99 steer -24264
4.00 steer -25872
4.01 steer -26408
4.02 steer -28016
4.03 steer -29088
4.05 steer -30160
4.07 steer -28552
4.08 steer -28016
4.11 steer -23192
4.12 steer -22656
4.13 steer -20512
4.14 steer -18904
4.15 steer -14617
4.16 steer -12473
4.17 steer -10865
4.18 steer -8721
4.19 steer -10329
4.20 steer -8721
4.23 steer -10329
4.25 steer -11937
4.26 steer -14081
4.27 steer -15153
4.28 steer -16224
4.30 steer -14617
4.37 steer -14081
4.38 steer -8185
4.39 steer -6577
4.40 steer -2825
4.41 steer 0
4.46 steer -1753
4.50 steer -4969
4.51 steer -8721
4.52 steer -10865
4.53 steer -14617
4.54 steer -16224
4.55 steer -18904
4.56 steer -19976
4.57 steer -20512
4.62 steer -18904
4.63 steer -16224
4.64 steer -14081
4.65 steer -11937
4.66 steer -8721
4.67 steer -6041
4.71 steer -7649
4.72 steer -10329
4.73 steer -10865
4.74 steer -14617
4.75 steer -15153
4.76 steer -16224
4.82 steer -14617
4.85 steer -9793
4.86 steer -8185
4.87 steer -2825
4.88 steer -1753
4.89 steer 0
4.99 steer 3363
5.00 steer 6043
5.01 steer 10331
5.02 steer 19443
5.03 steer 22658
5.04 steer 28018
5.05 steer 31770
5.06 steer 37130
5.07 steer 45170
5.08 steer 48386
5.09 steer 53210
5.10 steer 65536
5.88 steer 53210
5.89 steer 46242
5.90 steer 37130
5.91 steer 15155
5.92 steer 5507
5.93 steer 0
5.94 steer -19976
5.95 steer -46776
5.96 steer -58568
5.97 steer -65536
6.14 steer -52672
6.15 steer -44632
6.16 steer -36056
6.17 steer -25872
6.18 steer -17832
6.19 steer 0
6.22 steer 3899
6.23 steer 12475
6.24 steer 17299
6.25 steer 21586
6.26 steer 25874
6.27 steer 33914
6.28 steer 38202
6.29 steer 41954
6.30 steer 46242
6.31 steer 48922
6.32 steer 51602
6.33 steer 53210
6.34 steer 55354
6.36 steer 53746
6.38 steer 53210
6.39 steer 46778
6.40 steer 44098
6.41 steer 39274
6.42 steer 33378
6.43 steer 20514
6.44 steer 13011
6.45 steer 8187
6.46 steer 3363
6.47 steer 0
7.14 steer 6579
7.15 steer 11403
7.16 steer 17299
7.17 steer 21586
7.18 steer 32842
7.19 steer 37666
7.20 steer 41418
7.21 steer 45170
7.22 steer 46778
7.23 steer 50530
7.24 steer 51066
7.26 steer 49458
7.27 steer 48922
7.28 steer 48386
7.29 steer 46242
7.30 steer 44098
7.31 steer 41418
7.32 steer 40346
7.33 steer 39810
7.34 steer 37130
7.35 steer 35522
7.36 steer 33378
7.37 steer 30162
7.38 steer 24266
7.39 steer 18907
7.40 steer 13547
7.41 steer 10331
7.42 steer 6043
7.43 steer 1755
7.44 steer 1219
7.45 steer 0
7.50 steer -2825
7.51 steer -10329
7.52 steer -13009
7.53 steer -15153
7.54 steer -17832
7.55 steer -21048
7.56 steer -32840
7.57 steer -40344
7.58 steer -57496
7.59 steer -65536
7.74 steer -48920
7.75 steer -41416
7.76 steer -31232
7.77 steer -18368
7.78 steer -4969
7.79 steer 8723
7.80 steer 19443
7.81 steer 28554
7.82 steer 39274
7.83 steer 52674
7.84 steer 57498
7.85 steer 65002
7.86 steer 65536
7.99 steer 50530
8.00 steer 37666
8.01 steer 20514
8.02 steer 0
8.04 steer -24800
8.05 steer -32304
8.06 steer -39272
8.07 steer -55352
8.08 steer -65000
8.09 steer -65536
8.15 steer -59640
8.16 steer -51600
8.17 steer -44096
8.18 steer -34984
8.19 steer -12473
8.20 steer -2289
8.21 steer 0
8.47 steer -7649
8.48 steer -10865
8.49 steer -14617
8.50 steer -16224
8.51 steer -16760
8.52 steer -15153
8.54 steer -10865
8.55 steer -8721
8.58 steer -8185
8.64 steer -7649
8.65 steer -6577
8.66 steer -3897
8.68 steer -2825
8.69 steer 0
9.40 steer -681
9.41 steer -2825
9.42 steer -13009
9.43 steer -18368
9.44 steer -23192
9.45 steer -26944
9.46 steer -32840
9.47 steer -42488
9.48 steer -45168
9.49 steer -47312
9.50 steer -51064
9.51 steer -53208
9.52 steer -54280
9.53 steer -54816
9.54 steer -55352
9.55 steer -56424
9.58 steer -54280
9.59 steer -45168
9.60 steer -40880
9.61 steer -36592
9.62 steer -24264
9.63 steer -17832
9.64 steer -10865
9.65 steer -4969
9.66 steer -681
9.67 steer 0
9.71 steer 9259
9.72 steer 18907
9.73 steer 29090
9.74 steer 42490
9.75 steer 60714
9.76 steer 65536
9.89 steer 63930
9.90 steer 55890
9.92 steer 39274
9.93 steer 25874
9.94 steer 14619
9.95 steer 0
9.97 steer -2289
9.98 steer -11937
9.99 steer -25872
10.00 steer -29088
10.01 steer -32304
10.02 steer -34984
10.04 steer -36056
10.05 steer -37128
10.06 steer -39272
10.07 steer -47312
10.08 steer -51064
10.09 steer -54816
10.10 steer -59104
10.13 steer -57496
10.14 steer -51064
10.15 steer -39272
10.16 steer -32304
10.17 steer -22656
10.18 steer -14617
10.19 steer -4433
10.20 steer 0
10.35 steer 3363
10.36 steer 8723
10.37 steer 17299
10.38 steer 24266
10.39 steer 39810
10.40 steer 46242
10.41 steer 48386
10.42 steer 49458
10.43 steer 47314
10.44 steer 44098
10.45 steer 41418
10.46 steer 37130
10.47 steer 19979
10.48 steer 11403
10.49 steer 5507
10.50 steer 4435
10.51 steer 1755
10.52 steer 1219
10.53 steer 0
10.73 steer 1755
10.74 steer 7651
10.75 steer 17835
10.76 steer 22658
10.77 steer 28554
10.78 steer 32842
10.79 steer 35522
10.80 steer 33914
10.81 steer 33378
10.82 steer 23730
10.83 steer 16763
10.84 steer 1219
10.85 steer 0
10.88 steer -3897
10.89 steer -4969
10.90 steer -6577
10.95 steer -7649
10.97 steer -6041
10.98 steer -4969
10.99 steer 0
11.08 steer 3363
11.09 steer 8187
11.10 steer 22658
11.11 steer 30162
11.12 steer 33914
11.13 steer 38202
11.15 steer 36058
11.16 steer 31770
11.17 steer 28554
11.18 steer 25874
11.19 steer 18907
11.20 steer 15691
11.21 steer 13547
11.22 steer 12475
11.24 steer 10867
11.30 steer 16763
11.31 steer 19443
11.32 steer 19979
11.33 steer 20514
11.37 steer 17299
11.38 steer 15691
11.42 steer 17299
11.43 steer 19443
11.46 steer 14619
11.47 steer 0
11.50 steer -9793
11.51 steer -14081
11.52 steer -14617
11.56 steer -18368
11.57 steer -28016
11.58 steer -47312
11.59 steer -55352
11.60 steer -63392
11.61 steer -65536
11.63 steer -53208
11.64 steer -46240
11.65 steer -39272
11.66 steer -31232
11.67 steer -7649
11.68 steer 0
12.03 steer 1755
12.04 steer 8187
12.05 steer 12475
12.06 steer 17835
12.07 steer 22658
12.08 steer 30162
12.10 steer 28018
12.11 steer 24266
12.12 steer 20514
12.13 steer 17835
12.14 steer 14619
12.15 steer 10867
12.16 steer 8187
12.17 steer 5507
12.18 steer 4435
12.19 steer 3899
12.22 steer 5507
12.23 steer 6043
12.24 steer 7651
12.27 steer 2291
12.28 steer 1755
12.29 steer 1219
12.30 steer 0
12.38 steer -3897
12.39 steer -11937
12.43 steer -3897
12.44 steer 0
12.49 steer -8185
12.50 steer -15153
12.51 steer -25872
12.52 steer -28552
12.58 steer -26944
12.59 steer -30160
12.60 steer -30696
12.62 steer -29088
12.63 steer -26408
12.64 steer -14617
12.65 steer -6577
12.66 steer 0
