0.00-19.80 press up
0.12 steer 1318
0.17 steer 2076
0.20 steer 2836
0.25 steer 3087
0.28 steer 3594
0.31 steer 4351
0.32 steer 6627
0.33 steer 7892
0.34 steer 8903
0.37 steer 10420
0.38 steer 11432
0.41 steer 12189
0.44 steer 13201
0.45 steer 14465
0.46 steer 15476
0.47 steer 16236
0.49 steer 18512
0.50 steer 19016
0.51 steer 18763
0.52 steer 18512
0.53 steer 18763
0.55 steer 19270
0.56 steer 19016
0.57 steer 18763
0.58 steer 19016
0.59 steer 18763
0.86 steer 18512
0.87 steer 18763
0.91 steer 18512
0.95 steer 18763
1.17 steer 18512
1.18 steer 18763
1.47 steer 14465
1.48 steer 10674
1.49 steer 3340
1.50 steer 811
1.51 steer 0
1.64 steer 811
1.65 steer 3087
1.66 steer 6123
1.67 steer 8903
1.68 steer 12189
1.69 steer 12949
1.70 steer 14718
1.71 steer 16236
1.72 steer 18005
1.75 steer 18512
1.76 steer 18259
1.80 steer 18005
1.81 steer 17247
1.82 steer 15225
1.83 steer 10167
1.84 steer 6627
1.85 steer 4605
1.86 steer 3847
1.88 steer 3340
1.94 steer 3594
1.95 steer 3340
1.97 steer 4351
1.98 steer 6374
1.99 steer 9156
2.00 steer 9409
2.01 steer 10925
2.04 steer 11178
2.11 steer 8145
2.13 steer 3340
2.14 steer 1065
2.17 steer 811
2.24 steer 1065
2.25 steer 4351
2.26 steer 6374
2.27 steer 10167
2.28 steer 12189
2.29 steer 13201
2.30 steer 15476
2.31 steer 19774
2.32 steer 20787
2.33 steer 22303
2.34 steer 24074
2.35 steer 24579
2.36 steer 25590
2.37 steer 25843
2.38 steer 28625
2.39 steer 29383
2.40 steer 30141
2.41 steer 30901
2.42 steer 32923
2.43 steer 33428
2.44 steer 34439
2.45 steer 35450
2.46 steer 36464
2.47 steer 37475
2.48 steer 38737
2.49 steer 39244
2.50 steer 39497
2.52 steer 40001
2.54 steer 40255
2.55 steer 40761
2.56 steer 41013
2.57 steer 41266
2.60 steer 41519
2.62 steer 41773
2.65 steer 43795
2.66 steer 44302
2.67 steer 45059
2.68 steer 45817
2.71 steer 46070
2.72 steer 45817
2.73 steer 46070
