0.00-24.08 press up
1.79 steer -770
1.80 steer -1618
1.81 steer -1972
1.83 steer -2575
1.84 steer -2825
1.85 steer -3047
1.86 steer -3251
1.87 steer -3651
1.88 steer -3887
1.89 steer -4112
1.90 steer -4451
1.91 steer -4616
1.92 steer -4772
1.93 steer -4935
1.94 steer -5433
1.96 steer -6091
1.97 steer -6538
1.98 steer -6935
1.99 steer -7561
2.00 steer -7779
2.01 steer -7965
2.02 steer -8192
2.03 steer -8988
2.04 steer -9481
2.05 steer -9901
2.06 steer -10286
2.07 steer -10607
2.08 steer -11080
2.09 steer -11279
2.10 steer -11438
2.11 steer -11701
2.12 steer -11825
2.13 steer -11951
2.14 steer -12064
2.16 steer -12224
2.18 steer -12295
2.21 steer -12465
2.23 steer -12692
2.25 steer -12862
2.26 steer -12997
2.27 steer -13238
2.29 steer -13454
2.30 steer -13873
2.31 steer -14151
2.32 steer -14463
2.33 steer -14738
2.34 steer -15059
2.35 steer -15380
2.36 steer -16057
2.37 steer -16344
2.38 steer -16612
2.39 steer -17071
2.40 steer -17424
2.41 steer -18009
2.42 steer -18302
2.43 steer -18601
2.44 steer -19392
2.46 steer -20305
2.47 steer -20899
2.48 steer -21963
2.49 steer -22406
2.50 steer -22825
2.51 steer -23250
2.52 steer -23640
2.53 steer -24293
2.54 steer -24527
2.55 steer -24791
2.56 steer -25131
2.57 steer -25401
2.58 steer -26209
2.59 steer -26665
2.60 steer -27055
2.61 steer -27381
2.62 steer -28025
2.63 steer -28284
2.64 steer -28493
2.65 steer -28661
2.66 steer -28794
2.67 steer -28968
2.68 steer -29053
2.70 steer -29195
2.74 steer -29278
2.86 steer -29415
2.98 steer -28982
2.99 steer -28177
3.00 steer -27484
3.01 steer -26722
3.02 steer -25970
3.03 steer -23321
3.04 steer -21699
3.05 steer -19848
3.06 steer -15121
3.07 steer -12522
3.08 steer -9869
3.09 steer -7353
3.10 steer -2857
3.11 steer -1201
3.12 steer 0
3.32 steer -2692
3.33 steer -4451
3.34 steer -5919
3.35 steer -7093
3.36 steer -8795
3.37 steer -9408
3.38 steer -9896
3.39 steer -10286
3.40 steer -10598
3.41 steer -10986
3.42 steer -11107
3.44 steer -9022
3.45 steer -7247
3.46 steer -5357
3.47 steer -3334
3.48 steer -1591
3.49 steer 0
4.54 steer 845
4.55 steer 2020
4.56 steer 3125
4.57 steer 5029
4.58 steer 5933
4.59 steer 6697
4.60 steer 7279
4.61 steer 7786
4.62 steer 8660
4.63 steer 9015
4.64 steer 9369
4.65 steer 9903
4.66 steer 10105
4.67 steer 10282
4.68 steer 10421
4.69 steer 10660
4.71 steer 10800
4.73 steer 10892
4.74 steer 11096
4.75 steer 11334
4.76 steer 11649
4.77 steer 12337
4.78 steer 12573
4.79 steer 12805
4.80 steer 13270
4.81 steer 13513
4.82 steer 13789
4.83 steer 14146
4.84 steer 14637
4.85 steer 15596
4.86 steer 16192
4.87 steer 16834
4.88 steer 17979
4.89 steer 18426
4.90 steer 18770
4.91 steer 19059
4.92 steer 19305
4.93 steer 19500
4.94 steer 19757
4.96 steer 19908
4.97 steer 20018
5.01 steer 20156
5.04 steer 20245
5.08 steer 20534
5.09 steer 20702
5.10 steer 20931
5.11 steer 21156
5.12 steer 21504
5.13 steer 21656
