0.00-11.62 press up
0.63 steer 2326
0.64 steer 6316
0.65 steer 7456
0.66 steer 9167
0.67 steer 10307
0.70 steer 8597
0.72 steer 7456
0.73 steer 6316
0.74 steer 2326
0.75 steer 1753
0.76 steer 0
0.88 steer 2326
0.89 steer 2896
0.90 steer 5176
0.91 steer 6886
0.92 steer 7456
0.93 steer 8597
0.95 steer 7456
0.96 steer 9167
0.97 steer 6886
0.98 steer 8597
1.03 steer 6886
1.14 steer 8597
1.15 steer 9167
1.16 steer 7456
1.17 steer 6886
1.18 steer 6316
1.19 steer 4606
1.20 steer 4036
1.21 steer 4606
1.24 steer 4036
1.25 steer 2896
1.26 steer 0
2.14 steer 1753
2.15 steer 4036
2.16 steer 5176
2.17 steer 6886
2.18 steer 8597
2.19 steer 6886
2.21 steer 5176
2.22 steer 7456
2.23 steer 5176
2.24 steer 4606
2.25 steer 4036
2.26 steer 2896
2.27 steer 2326
2.28 steer 0
2.40 steer 1753
2.41 steer 4036
2.42 steer 8597
2.43 steer 12587
2.44 steer 13157
2.45 steer 13727
2.46 steer 11447
2.48 steer 10877
2.49 steer 10307
2.60 steer 8597
2.62 steer 7456
2.63 steer 4606
2.64 steer 2326
2.65 steer 1753
2.66 steer 0
2.94 steer 1753
2.96 steer 4036
2.97 steer 5176
2.98 steer 6886
2.99 steer 4036
3.01 steer 2896
3.04 steer 2326
3.05 steer 0
3.28 steer 1753
3.29 steer 4036
3.30 steer 6886
3.31 steer 7456
3.32 steer 5176
3.33 steer 9167
3.34 steer 6886
3.35 steer 6316
3.37 steer 5176
3.38 steer 4606
3.39 steer 2896
3.40 steer 0
3.53 steer 1753
3.54 steer 5176
3.56 steer 9167
3.57 steer 6316
3.59 steer 8597
3.60 steer 6316
3.61 steer 5176
3.63 steer 2896
3.64 steer 0
3.76 steer 1753
3.77 steer 4606
3.78 steer 8597
3.79 steer 9167
3.80 steer 11447
3.81 steer 9167
3.82 steer 5176
3.84 steer 4606
3.85 steer 2326
3.86 steer 0
3.95 steer 6886
3.96 steer 8597
3.97 steer 10307
3.98 steer 12587
3.99 steer 10877
4.00 steer 10307
4.02 steer 9167
4.03 steer 7456
4.04 steer 4606
4.05 steer 2896
4.06 steer 0
4.17 steer -2268
4.18 steer -5663
4.19 steer -6228
4.20 steer -8491
4.21 steer -11320
4.23 steer -15848
4.24 steer -16979
4.26 steer -19242
4.28 steer -21505
4.30 steer -22070
4.31 steer -22636
4.32 steer -23768
4.34 steer -24333
4.35 steer -25465
4.36 steer -26596
4.37 steer -27727
4.38 steer -28293
4.40 steer -26596
4.42 steer -28293
4.43 steer -29425
4.46 steer -27727
4.47 steer -27162
4.48 steer -26596
4.49 steer -25465
4.55 steer -24899
4.56 steer -22636
4.57 steer -16413
4.59 steer -10188
4.60 steer -5663
4.61 steer -2268
4.62 steer 0
4.66 steer 2326
4.67 steer 2896
4.68 steer 4036
4.69 steer 8597
4.70 steer 10307
4.71 steer 14870
4.72 steer 17150
4.73 steer 17720
4.75 steer 16010
4.76 steer 14870
4.78 steer 13727
4.79 steer 13157
4.80 steer 12587
4.81 steer 10877
4.82 steer 5176
4.83 steer 2896
4.84 steer 1753
4.85 steer 0
5.29 steer 1753
5.30 steer 2896
5.33 steer 6316
5.34 steer 6886
5.35 steer 7456
5.36 steer 10307
5.38 steer 9167
5.39 steer 7456
5.41 steer 6886
5.42 steer 8597
5.43 steer 6886
5.44 steer 6316
5.45 steer 4606
5.46 steer 1753
5.47 steer 0
6.83 steer -2268
6.84 steer 0
6.90 steer -1137
6.92 steer 0
7.00-7.10 press down
7.21-7.31 press down
7.40-7.53 press down
7.57 steer 1753
7.58 steer 2326
7.59 steer 0
7.61 steer 1753
7.65 steer 2326
7.66 steer 0
7.86 steer -2834
7.87 steer -1137
7.88 steer -3400
7.89 steer -3966
7.90 steer -5663
7.91 steer -6228
7.92 steer -6794
7.93 steer -7926
7.95 steer -8491
7.96 steer -9057
7.99 steer -8491
8.01 steer -9057
8.02 steer -10754
8.04 steer -9057
8.05 steer -8491
8.06 steer -6794
8.10 steer -6228
8.11 steer -5663
8.12 steer -7926
8.18 steer -6228
8.29 steer -5663
8.30 steer -3966
8.31 steer 0
8.51 steer -1137
8.52 steer -3966
8.53 steer -5097
8.54 steer -6228
8.56 steer -6794
8.57 steer -7926
8.58 steer -9057
8.61 steer -6794
8.62 steer -3966
8.63 steer -3400
8.67 steer -2268
8.68 steer 0
8.75 steer 1753
8.76 steer 10307
8.77 steer 20001
8.78 steer 29694
8.79 steer 52502
8.80 steer 62766
8.81 steer 65536
10.15 steer 65047
10.16 steer 62196
10.17 steer 58773
10.18 steer 54213
10.19 steer 51932
10.20 steer 50222
10.21 steer 49080
10.22 steer 47939
10.23 steer 47369
10.24 steer 46229
10.25 steer 45659
10.27 steer 45089
10.28 steer 43949
10.29 steer 43379
10.31 steer 39388
10.32 steer 37676
10.33 steer 34825
10.34 steer 30834
10.35 steer 23991
10.36 steer 20001
10.37 steer 13727
10.38 steer 9167
10.39 steer 1753
10.40 steer 0
10.93 steer -2834
10.94 steer -6228
10.95 steer -10188
10.96 steer -11886
10.97 steer -15848
10.98 steer -16979
10.99 steer -20939
11.00 steer -22070
11.01 steer -23768
11.02 steer -24899
11.03 steer -26596
11.07 steer -27727
11.10 steer -25465
11.11 steer -24899
11.12 steer -24333
11.15 steer -23768
11.16 steer -22636
11.17 steer -19242
11.18 steer -14151
11.19 steer -13017
11.20 steer -11886
11.21 steer -11320
11.22 steer -10754
11.24 steer -9057
11.25 steer -7926
11.26 steer 0
11.30 steer 1753
11.31 steer 4036
11.32 steer 6316
11.33 steer 6886
11.34 steer 7456
11.35 steer 8597
11.36 steer 6316
11.38 steer 0
12.18 steer 2896
12.19 steer 5176
12.20 steer 6886
12.21 steer 8597
12.22 steer 10877
12.23 steer 13157
12.24 steer 14870
12.25 steer 17150
12.26 steer 19430
12.27 steer 20001
12.28 steer 21141
12.30 steer 21711
12.31 steer 22281
12.32 steer 23421
12.35 steer 23991
12.37 steer 24561
12.42 steer 25701
12.44 steer 26274
12.46 steer 26844
12.51 steer 27984
12.52-13.93 press up
12.54 steer 28554
12.56 steer 29694
12.59 steer 30264
12.61 steer 30834
12.64 steer 31975
12.65 steer 30264
12.66 steer 31975
12.67 steer 32545
12.68 steer 33115
12.69 steer 34825
12.70 steer 36535
12.71 steer 39388
12.72 steer 42809
12.73 steer 45089
12.74 steer 49650
12.75 steer 51362
12.76 steer 52502
12.77 steer 54783
12.78 steer 55923
12.79 steer 58773
12.80 steer 59914
12.81 steer 61054
12.82 steer 63336
12.83 steer 65536
13.98-19.53 press up
14.75 steer 62196
14.76 steer 56493
14.77 steer 50222
14.78 steer 42809
14.79 steer 26274
14.80 steer 19430
14.81 steer 9167
14.82 steer 0
14.85 steer -10754
14.87 steer -25465
14.88 steer -35082
14.89 steer -42436
14.90 steer -56015
14.91 steer -63369
14.92 steer -65536
15.15 steer -49790
15.16 steer -40173
15.17 steer -27162
15.18 steer 0
15.19 steer 5176
15.20 steer 19430
15.21 steer 32545
15.22 steer 53643
15.23 steer 59914
15.24 steer 62196
15.25 steer 65047
15.26 steer 65536
15.27 steer 65047
15.28 steer 62766
15.29 steer 62196
15.30 steer 58773
15.31 steer 51362
15.32 steer 45659
15.33 steer 39388
15.34 steer 23991
15.35 steer 14870
15.36 steer 2326
15.37 steer 0
15.39 steer -3400
15.40 steer -11320
15.41 steer -16413
15.42 steer -19808
15.43 steer -30556
15.44 steer -34516
15.45 steer -39042
15.46 steer -48093
15.47 steer -51489
15.48 steer -56015
15.49 steer -59975
15.50 steer -65536
15.52-15.69 press down
16.30 steer -54884
16.31 steer -49224
16.32 steer -42436
16.33 steer -36213
16.34 steer -20939
16.35 steer -13583
16.36 steer -8491
16.37 steer -3966
16.38 steer 0
16.64 steer 1753
16.65 steer 0
16.66 steer 2896
16.67 steer 4036
16.68 steer 4606
16.69 steer 6316
16.70 steer 10307
16.71 steer 13727
16.72 steer 16010
16.73 steer 17720
16.75 steer 18290
16.76 steer 19430
16.78 steer 20001
16.82 steer 18290
16.83 steer 17720
16.85 steer 16010
16.87 steer 11447
16.88 steer 10877
16.89 steer 8597
16.90 steer 4036
16.91 steer 2896
16.93 steer 4036
16.95 steer 5176
16.99 steer 9167
17.00 steer 12587
17.01 steer 13727
17.02 steer 17720
17.03 steer 19430
17.04 steer 17720
17.05 steer 17150
17.07 steer 15440
17.09 steer 14870
17.10 steer 9167
17.11 steer 4606
17.12 steer 2896
17.13 steer 0
17.28 steer 2326
17.29 steer 2896
17.30 steer 7456
17.31 steer 13727
17.32 steer 17720
17.33 steer 20001
17.34 steer 22281
17.35 steer 23421
17.36 steer 23991
17.38 steer 24561
17.39 steer 25701
17.40 steer 23991
17.42 steer 25701
17.45 steer 23991
17.48 steer 23421
17.50 steer 22281
17.53 steer 21711
17.54 steer 20001
17.55 steer 18290
17.56 steer 17150
17.57 steer 10307
17.59 steer 5176
17.60 steer 2326
17.61 steer 0
17.65 steer -2834
17.66 steer -10754
17.67 steer -11320
17.68 steer -14151
17.69 steer -16413
17.70 steer -17545
17.71 steer -18676
17.72 steer -16979
17.75 steer -16413
