0.00-23.00 press up
0.96 steer 1706
0.97 steer 2256
0.98 steer 2708
0.99 steer 3098
1.00 steer 3660
1.01 steer 3832
1.02 steer 3969
1.03 steer 4107
1.04 steer 4231
1.05 steer 4385
1.07 steer 4485
1.11 steer 4605
1.28 steer 4708
1.62 steer 4164
1.63 steer 3841
1.64 steer 3515
1.65 steer 3194
1.66 steer 2522
1.67 steer 2219
1.68 steer 1935
1.69 steer 1637
1.71 steer 1462
1.72 steer 919
1.73 steer 0
2.26 steer -1132
2.27 steer -2999
2.28 steer -5054
2.29 steer -9720
2.30 steer -12676
2.31 steer -30351
2.32 steer -31353
2.33 steer -33213
2.34 steer -38904
2.35 steer -58657
2.36 steer -65536
2.69 steer -64682
2.70 steer -63992
2.71 steer -63347
2.72 steer -62726
2.73 steer -62175
2.74 steer -61109
2.75 steer -60434
2.76 steer -59269
2.78 steer -58843
2.79 steer -58244
2.80 steer -58090
2.81 steer -57992
2.83 steer -59145
2.84 steer -65536
3.15 steer -65056
3.16 steer -64304
3.17 steer -63451
3.18 steer -62636
3.19 steer -60409
3.20 steer -58953
3.21 steer -57104
3.22 steer -54943
3.23 steer -52338
3.24 steer -34606
3.25 steer -32390
3.26 steer -15990
3.27 steer -14644
3.28 steer -8983
3.29 steer -6600
3.30 steer -4591
3.31 steer -1297
3.33 steer 0
3.62 steer -1781
3.63 steer -4011
3.64 steer -6086
3.65 steer -10731
3.66 steer -13220
3.67 steer -15431
3.68 steer -17330
3.69 steer -18929
3.70 steer -20298
3.71 steer -22348
3.72 steer -23073
3.73 steer -24115
3.74 steer -24486
3.75 steer -24782
3.76 steer -25021
3.77 steer -25172
3.78 steer -24268
3.79 steer -22608
3.80 steer -20481
3.81 steer -4534
3.82 steer -2063
3.84 steer 0
4.11 steer 4357
4.12 steer 7258
4.13 steer 9674
4.14 steer 11646
4.15 steer 14522
4.16 steer 15513
4.17 steer 16263
4.18 steer 16823
4.20 steer 0
5.10 steer -1056
5.11 steer -16204
5.12 steer -19777
5.13 steer -35113
5.14 steer -36025
5.15 steer -39792
5.16 steer -41709
5.17 steer -43335
5.18 steer -44925
5.19 steer -48129
5.20 steer -49654
5.21 steer -51097
5.22 steer -54322
5.24 steer -57829
5.25 steer -65536
5.42 steer -65143
5.43 steer -64279
5.44 steer -63219
5.45 steer -60292
5.46 steer -58253
5.47 steer -56517
5.48 steer -55010
5.49 steer -52356
5.51 steer -49689
5.52 steer -48420
5.53 steer -47053
5.54 steer -44785
5.55 steer -43959
5.56 steer -43312
5.57 steer -42822
5.58 steer -42468
5.59 steer -43078
5.60 steer -43695
5.61 steer -45177
5.62 steer -45808
5.63 steer -46299
5.64 steer -46980
5.66 steer -47225
5.67 steer -47560
5.68 steer -47675
5.71 steer -47005
5.72 steer -46287
5.73 steer -44672
5.74 steer -43817
5.75 steer -42936
5.76 steer -42179
5.77 steer -41418
5.78 steer -39727
5.79 steer -38934
5.80 steer -38285
5.81 steer -37753
5.82 steer -36867
5.83 steer -36564
5.84 steer -36321
5.85 steer -36140
5.86 steer -35996
5.87 steer -35881
5.88 steer -35702
5.89 steer -35633
5.92 steer -35482
5.95 steer -35406
5.97 steer -35255
5.98 steer -34700
5.99 steer -31867
6.00 steer -29482
6.01 steer -13605
6.02 steer -12165
6.03 steer -6736
6.04 steer -4203
6.05 steer -2040
6.06 steer 0
6.19 steer 2194
6.20 steer 20686
6.21 steer 22383
6.22 steer 24186
6.23 steer 26195
6.24 steer 31557
6.25 steer 34473
6.26 steer 51294
6.27 steer 53398
6.28 steer 55473
6.29 steer 65536
7.44 steer 64987
7.45 steer 63535
7.46 steer 61331
7.47 steer 43959
7.48 steer 41858
7.49 steer 19796
7.50 steer 0
7.62 steer -16270
7.63 steer -17770
7.64 steer -20298
7.65 steer -35626
7.66 steer -36619
7.67 steer -39723
7.68 steer -41443
7.69 steer -44221
7.70 steer -45278
7.71 steer -46136
7.72 steer -46835
7.73 steer -47372
7.74 steer -48106
7.75 steer -48306
7.77 steer -47746
7.78 steer -44228
7.79 steer -41445
7.80 steer -24066
7.81 steer -22621
7.82 steer -17938
7.83 steer -15126
7.84 steer -12708
7.85 steer -9004
7.86 steer -7653
7.87 steer -6371
7.88 steer -5167
7.89 steer -3979
7.90 steer -2559
7.91 steer 0
7.97 steer 8522
7.98 steer 9658
7.99 steer 27947
8.00 steer 29135
8.01 steer 31381
8.02 steer 36943
8.03 steer 39812
8.04 steer 42282
8.05 steer 44326
8.06 steer 45973
8.07 steer 47292
8.08 steer 48319
8.09 steer 49751
8.10 steer 50180
8.11 steer 50482
8.12 steer 51042
8.13 steer 51400
8.14 steer 52207
8.15 steer 53480
8.16 steer 65536
8.44 steer 62008
8.45 steer 38149
8.46 steer 21842
8.47 steer 1894
8.48 steer 0
8.92 steer 2460
8.93 steer 4699
8.94 steer 9685
8.95 steer 12144
8.96 steer 14137
8.97 steer 15855
8.98 steer 18688
8.99 steer 20011
9.00 steer 21206
9.01 steer 22986
9.02 steer 23626
9.03 steer 24137
9.04 steer 24534
9.05 steer 24865
9.06 steer 25128
9.07 steer 25509
9.08 steer 25644
9.09 steer 25766
9.11 steer 24947
9.12 steer 24149
9.13 steer 22105
9.14 steer 19318
9.15 steer 0
9.44 steer -3169
9.45 steer -6059
9.46 steer -23498
9.47 steer -26530
9.49 steer -31858
9.50 steer -47413
9.51 steer -48524
9.53 steer -51017
9.54 steer -52425
9.55 steer -54092
9.56 steer -56097
9.57 steer -65536
9.99 steer -64366
10.00 steer -62772
10.01 steer -57666
10.02 steer -40569
10.03 steer -39374
10.04 steer -36782
10.05 steer -18878
10.07 steer -13850
10.08 steer 0
10.14 steer 11295
10.15 steer 13440
10.16 steer 15603
10.17 steer 18390
10.18 steer 33525
10.19 steer 34844
10.20 steer 35927
10.21 steer 36927
10.22 steer 38294
10.23 steer 39748
10.24 steer 41127
10.25 steer 44491
10.26 steer 46420
10.27 steer 48230
10.28 steer 49719
10.29 steer 52420
10.30 steer 53537
10.31 steer 54978
10.32 steer 57549
10.33 steer 58494
10.34 steer 59251
10.35 steer 59843
10.36 steer 60301
10.37 steer 60987
10.38 steer 61111
10.39 steer 60533
10.40 steer 58322
10.41 steer 55877
10.42 steer 39473
10.43 steer 37402
10.44 steer 19245
10.45 steer 0
10.74 steer 12701
10.75 steer 14516
10.76 steer 17295
10.77 steer 37675
10.78 steer 39193
10.79 steer 44663
10.80 steer 47473
10.81 steer 63051
10.82 steer 65536
10.96 steer 64710
10.97 steer 45117
10.98 steer 42886
10.99 steer 21977
